order_id,order_date,customer_id,product_id,product_name,quantity,unit_price
ORD-00363,2025-01-01,C0014,P009,Куртка ветровка,4,15.23
ORD-00363,2025-01-01,C0014,P009,Куртка ветровка,2,11.47
ORD-00363,2025-01-01,C0014,P001,Футболка базовая,3,31.99
ORD-00363,2025-01-01,C0014,P009,Куртка ветровка,3,54.02
ORD-00122,2025-01-02,C0107,P005,Кепка логотип,1,93.89
ORD-00122,2025-01-02,C0107,P010,Сумка через плечо,5,34.24
ORD-00122,2025-01-02,C0107,P003,Кроссовки run,5,57.26
ORD-00285,2025-01-04,C0199,P006,Худи oversize,2,103.9
ORD-00291,2025-01-04,C0011,P006,Худи oversize,5,102.61
ORD-00291,2025-01-04,C0011,P001,Футболка базовая,1,74.76
ORD-00291,2025-01-04,C0011,P002,Джинсы slim,2,55.93
ORD-00291,2025-01-04,C0011,P005,Кепка логотип,2,97.32
ORD-00713,2025-01-04,C0055,P009,Куртка ветровка,1,80.97
ORD-00713,2025-01-04,C0055,P002,Джинсы slim,5,9.27
ORD-00713,2025-01-04,C0055,P008,Носки набор,4,71.23
ORD-00713,2025-01-04,C0055,P006,Худи oversize,3,105.78
ORD-00456,2025-01-05,C0137,P002,Джинсы slim,4,116.53
ORD-00456,2025-01-05,C0137,P010,Сумка через плечо,1,73.1
ORD-00456,2025-01-05,C0137,P002,Джинсы slim,2,67.44
ORD-00456,2025-01-05,C0137,P004,Рюкзак городской,2,37.6
ORD-00589,2025-01-05,C0045,P004,Рюкзак городской,1,22.65
ORD-00589,2025-01-05,C0045,P001,Футболка базовая,1,80.11
ORD-00589,2025-01-05,C0045,P006,Худи oversize,3,94.51
ORD-00082,2025-01-06,C0142,P005,Кепка логотип,2,22.67
ORD-00082,2025-01-06,C0142,P003,Кроссовки run,4,18.76
ORD-00082,2025-01-06,C0142,P006,Худи oversize,2,115.22
ORD-00082,2025-01-06,C0142,P001,Футболка базовая,5,93.79
ORD-00581,2025-01-06,C0019,P008,Носки набор,2,105.79
ORD-00725,2025-01-06,C0095,P001,Футболка базовая,2,119.4
ORD-00725,2025-01-06,C0095,P003,Кроссовки run,4,29.73
ORD-00709,2025-01-08,C0134,P009,Куртка ветровка,4,47.1
ORD-00709,2025-01-08,C0134,P002,Джинсы slim,5,8.41
ORD-00775,2025-01-08,C0064,P001,Футболка базовая,4,77.07
ORD-00775,2025-01-08,C0064,P007,Шорты спорт,5,41.46
ORD-00775,2025-01-08,C0064,P001,Футболка базовая,4,71.95
ORD-00139,2025-01-09,C0191,P003,Кроссовки run,1,91.65
ORD-00139,2025-01-09,C0191,P001,Футболка базовая,3,36.98
ORD-00139,2025-01-09,C0191,P009,Куртка ветровка,3,26.36
ORD-00303,2025-01-09,C0074,P002,Джинсы slim,2,58.35
ORD-00303,2025-01-09,C0074,P003,Кроссовки run,3,89.43
ORD-00303,2025-01-09,C0074,P010,Сумка через плечо,1,103.85
ORD-00303,2025-01-09,C0074,P003,Кроссовки run,4,102.95
ORD-00523,2025-01-09,C0066,P005,Кепка логотип,2,69.47
ORD-00398,2025-01-10,C0071,P008,Носки набор,1,5.45
ORD-00417,2025-01-10,C0078,P009,Куртка ветровка,3,58.87
ORD-00417,2025-01-10,C0078,P008,Носки набор,3,31.44
ORD-00417,2025-01-10,C0078,P009,Куртка ветровка,2,78.92
ORD-00117,2025-01-11,C0067,P005,Кепка логотип,3,101.74
ORD-00117,2025-01-11,C0067,P008,Носки набор,3,42.09
ORD-00351,2025-01-11,C0102,P008,Носки набор,5,77.33
ORD-00485,2025-01-13,C0148,P008,Носки набор,1,26.14
ORD-00216,2025-01-15,C0110,P006,Худи oversize,5,10.19
ORD-00216,2025-01-15,C0110,P004,Рюкзак городской,5,101.31
ORD-00436,2025-01-15,C0096,P006,Худи oversize,2,73.62
ORD-00436,2025-01-15,C0096,P003,Кроссовки run,3,111.18
ORD-00436,2025-01-15,C0096,P008,Носки набор,2,83.1
ORD-00356,2025-01-16,C0192,P010,Сумка через плечо,5,92.0
ORD-00356,2025-01-16,C0192,P003,Кроссовки run,3,60.9
ORD-00356,2025-01-16,C0192,P009,Куртка ветровка,3,42.33
ORD-00187,2025-01-17,C0165,P004,Рюкзак городской,4,20.78
ORD-00368,2025-01-17,C0022,P009,Куртка ветровка,3,91.95
ORD-00310,2025-01-18,C0091,P003,Кроссовки run,3,52.65
ORD-00710,2025-01-18,C0083,P007,Шорты спорт,3,45.88
ORD-00710,2025-01-18,C0083,P006,Худи oversize,2,117.7
ORD-00710,2025-01-18,C0083,P003,Кроссовки run,2,88.46
ORD-00710,2025-01-18,C0083,P005,Кепка логотип,2,13.11
ORD-00277,2025-01-19,C0082,P001,Футболка базовая,5,55.71
